Locality,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Living Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Terrace Area,Garden,Garden Area,Surface of the land,Surface area of the plot of land,Number of facades,Swimming pool,State of the building
1080 Sint Jans Molenbeek,Apartment,Apartment,225000.0,for sale,2.0,97.0,,0.0,0.0,1.0,,0.0,,,,,,Normal
5100 Wepion,House,Residence,445000.0,for sale,4.0,260.0,1.0,,,,,1.0,,3090.0,,4.0,,To renovate
7000 Mons,Apartment,Apartment,525000.0,for sale,3.0,142.0,0.0,0.0,,1.0,36.0,0.0,,,,4.0,,New
4920 Sougne Remouchamps,House,Residence,289000.0,for sale,2.0,148.0,,,,1.0,3.0,,,78.0,,2.0,,Normal
9660 Brakel,House,Residence,340000.0,for sale,4.0,216.0,0.0,0.0,,1.0,60.0,1.0,500.0,632.0,,4.0,,Excellent
9500 Geraardsbergen,Apartment,Apartment,318182.0,for sale,2.0,84.0,,0.0,,1.0,17.0,0.0,,,,,,New
2170 Merksem,Apartment,Apartment,315000.0,for sale,2.0,88.0,,0.0,,1.0,5.0,0.0,,,,2.0,,New
8431 Wilskerke,House,Residence,415000.0,for sale,3.0,142.0,,0.0,,1.0,,1.0,,195.0,,,,To renovate
1495 Villers La Ville,House,Residence,340000.0,for sale,5.0,280.0,,,,1.0,,1.0,2815.0,2927.0,,4.0,1.0,Normal
2440 Geel,Apartment,Apartment,438000.0,for sale,2.0,130.0,0.0,,,1.0,20.0,,,,,,,New
6640 Vaux Sur Sure,House,Residence,400000.0,for sale,4.0,,,0.0,,1.0,,0.0,,707.0,,4.0,,New
9000 Gent,Apartment,Apartment,695000.0,for sale,2.0,103.0,0.0,,,1.0,,0.0,,,,2.0,,
7600 Peruwelz,House,Residence,280000.0,for sale,4.0,210.0,,0.0,,1.0,25.0,0.0,,,,2.0,,
5600 Philippeville,House,Residence,260000.0,for sale,3.0,164.0,,,,0.0,,0.0,,639.0,,3.0,,Normal
4000 Liege,House,Master House,350000.0,for sale,3.0,167.0,1.0,,1.0,1.0,,1.0,,230.0,,2.0,0.0,Normal
1651 Lot,House,Residence,520000.0,for sale,4.0,150.0,0.0,,,1.0,,1.0,160.0,360.0,,3.0,0.0,Excellent
9991 Adegem,Apartment,Apartment,454500.0,for sale,2.0,124.0,,,,1.0,16.0,1.0,,,,2.0,,New
4900 Spa,Apartment,Apartment,430000.0,for sale,3.0,212.0,,0.0,,1.0,28.0,0.0,,,,3.0,,Excellent
3550 Heusden Zolder,House,Residence,375000.0,for sale,3.0,174.0,,0.0,,1.0,,1.0,227.0,449.0,,3.0,,New
9160 Lokeren,House,Residence,382000.0,for sale,3.0,168.0,,,,0.0,,0.0,,184.0,,2.0,,
6041 Gosselies,House,Residence,199000.0,for sale,3.0,108.0,1.0,,,1.0,14.0,,,140.0,,2.0,,Fully renovated
5660 Presgaux,House,Residence,265000.0,for sale,3.0,,,,0.0,1.0,,1.0,,,,,,Normal
3550 Heusden Zolder,House,Residence,399000.0,for sale,5.0,234.0,,0.0,,0.0,,0.0,,1068.0,,4.0,,
7130 Binche,House,Residence,310000.0,for sale,3.0,145.0,,,0.0,1.0,,1.0,,,,,0.0,
4690 Bassenge,House,Residence,350000.0,for sale,4.0,463.0,0.0,0.0,,1.0,10.0,1.0,519.0,731.0,,3.0,0.0,To be renovated
1300 Wavre,House,Residence,600000.0,for sale,3.0,200.0,0.0,0.0,,1.0,,1.0,,1002.0,,4.0,,Normal
1700 Dilbeek,House,Residence,465000.0,for sale,5.0,210.0,,,,1.0,30.0,1.0,80.0,200.0,,2.0,,
3550 Heusden Zolder,Apartment,Apartment,240000.0,for sale,2.0,73.0,0.0,0.0,,1.0,,0.0,,,,4.0,,Normal
3090 Overijse,House,Residence,1595000.0,for sale,5.0,314.0,0.0,0.0,,1.0,40.0,1.0,2173.0,2173.0,,4.0,0.0,Excellent
4430 Ans,House,Residence,125000.0,for sale,2.0,90.0,1.0,0.0,,0.0,,1.0,35.0,85.0,,2.0,0.0,To renovate
8670 Koksijde,Apartment,Apartment,488685.0,for sale,2.0,101.0,,,,1.0,8.0,,,,,,,New
