locality,property_type,subtype,price_eur,num_rooms,living_area_m2,fully_equipped_kitchen,furnished,terrace,terrace_area_m2,garden,garden_area_m2,land_surface_m2,num_facades,swimming_pool,num_bathrooms,dist_train_km,dist_bus_km,is_house,postal_code,wallonie_bx,building_state
1180 Ukkel,Apartment,Apartment,595000.0,3.0,128.0,0.0,0.0,1.0,17.0,0.0,0.0,0.0,2.0,0.0,4.0,1.5,0.65,0,1180,1,10.0
4690 Bassenge,House,Residence,350000.0,4.0,219.0,1.0,0.0,1.0,99.0,1.0,834.0,1042.0,4.0,0.0,2.0,8.4,0.104,1,4690,1,4.0
3550 Heusden-Zolder,House,Residence,399000.0,3.0,156.0,0.0,0.0,1.0,0.0,1.0,0.0,605.0,3.0,0.0,2.0,1.2,0.282,1,3550,0,10.0
6031 Monceau-sur-Sambre,House,Residence,150000.0,2.0,80.0,0.0,0.0,1.0,13.0,1.0,18.0,0.0,2.0,0.0,2.0,1.3,0.358,1,6031,1,6.0
5580 Rochefort,House,Residence,379000.0,3.0,184.0,1.0,0.0,1.0,19.0,1.0,1134.0,1134.0,4.0,0.0,2.0,4.7,1.5,1,5580,1,6.0
1090 Jette,House,Residence,315000.0,3.0,155.0,1.0,0.0,1.0,0.0,1.0,100.0,215.0,2.0,0.0,1.0,1.3,0.236,1,1090,1,4.0
8420 De Haan,Apartment,Apartment,248000.0,2.0,59.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.707469745444429,0.0,1.0,8.3,0.24,0,8420,0,8.0
1480 Tubize,Apartment,Apartment,150000.0,1.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.707469745444429,0.0,1.0,0.527,0.016,0,1480,1,5.0
4000 Liege,Apartment,Apartment,119000.0,1.0,56.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.713,0.064,0,4000,1,3.0
5570 Beauraing,House,Residence,130000.0,3.0,164.0,1.0,0.0,1.0,0.0,1.0,0.0,95.0,2.0,0.0,1.0,5.3,0.476,1,5570,1,3.0
6780 Messancy,Apartment,Apartment,149000.0,1.0,47.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.707469745444429,0.0,1.0,1.5,0.284,0,6780,1,6.0
3650 Dilsen-Stokkem,Apartment,Apartment,272700.0,2.0,95.0,0.0,0.0,1.0,16.0,1.0,29.0,0.0,2.707469745444429,0.0,2.0,2.472569206067988,0.288,0,3650,0,5.0
4480 Engis,House,Residence,231000.0,2.0,100.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.707469745444429,0.0,1.0,0.334,0.423,1,4480,1,6.0
4000 Liege,Apartment,Apartment,245000.0,2.0,85.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,4.0,0.0,1.0,1.1,0.103,0,4000,1,5.0
