property_type,subtype,price_eur,num_rooms,living_area_m2,fully_equipped_kitchen,furnished,terrace,terrace_area_m2,garden,garden_area_m2,land_surface_m2,num_facades,swimming_pool,num_bathrooms,dist_train_km,dist_bus_km,postal_code,wallonie_bx,building_state
House,Residence,109000.0,2.0,58.0,0.0,0.0,0.0,0.0,1.0,172.0,208.0,2.0,0.0,1.0,2.7,0.108,4020,1,4.0
Apartment,Apartment,274500.0,2.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.7,0.182,9040,0,5.0
House,Residence,700000.0,5.0,447.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,2.0,0.0,2.0,1.2,0.505,2000,0,5.0
House,Residence,462204.0,4.0,219.0,0.0,0.0,0.0,0.0,1.0,818.0,911.0,3.0,0.0,2.0,8.4,0.102,1350,1,10.0
House,Residence,110000.0,2.0,100.0,0.0,0.0,1.0,20.0,1.0,0.0,94.0,2.0,0.0,1.0,4.4,0.122,4610,1,4.0
Apartment,Apartment,180000.0,2.0,104.0,1.0,0.0,1.0,50.0,0.0,0.0,0.0,3.0,0.0,1.0,0.744,0.537,7300,1,9.0
Apartment,Apartment,330000.0,2.0,94.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.7,0.126,3270,0,10.0
Apartment,Apartment,169000.0,2.0,103.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.3,0.254,2170,0,4.0
Apartment,Apartment,286600.0,2.0,91.0,1.0,0.0,1.0,12.0,1.0,49.0,0.0,2.707469745444429,0.0,1.0,0.23,0.01,6900,1,10.0
House,Mixed Building,630000.0,3.0,250.0,1.0,0.0,1.0,25.0,1.0,0.0,125.0,2.0,0.0,2.0,0.488,0.026,1170,1,6.0
House,Chalet,275000.0,2.0,70.0,0.0,0.0,0.0,0.0,1.0,0.0,3100.0,2.707469745444429,0.0,2.0,8.9,0.879,3980,0,8.0
Apartment,Apartment,395000.0,4.0,130.0,1.0,0.0,1.0,11.0,0.0,0.0,0.0,2.0,0.0,2.0,1.3,0.207,1030,1,6.0
Apartment,Apartment,359000.0,3.0,140.0,0.0,0.0,1.0,24.0,0.0,0.0,0.0,4.0,0.0,2.0,1.1,0.165,1083,1,5.0
House,Residence,689000.0,3.0,312.0,0.0,0.0,1.0,0.0,1.0,0.0,362.0,3.0,0.0,2.0,1.5,0.182,8900,0,5.0
House,Residence,230000.0,3.0,120.0,0.0,0.0,1.0,10.0,1.0,250.0,335.0,3.0,0.0,2.0,1.8,0.031,6001,1,9.0
Apartment,Duplex,335000.0,3.0,119.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,3.0,0.0,2.0,1.5,0.337,2070,0,9.0
House,Residence,228000.0,3.0,169.0,0.0,0.0,0.0,0.0,1.0,0.0,214.0,2.0,0.0,2.0,2.1,0.026,8800,0,5.0
House,Master House,1349000.0,7.0,585.0,1.0,0.0,1.0,25.0,1.0,140.0,400.0,2.0,0.0,3.0,2.0,0.136,1070,1,6.0
Apartment,Apartment,282100.0,1.0,84.0,1.0,0.0,1.0,17.0,0.0,0.0,0.0,2.707469745444429,0.0,2.0,1.7,0.372,2440,0,10.0
House,Residence,512495.0,4.0,206.0,0.0,0.0,0.0,0.0,0.0,0.0,935.0,3.0,0.0,2.0,1.1,0.896,9420,0,10.0
Apartment,Apartment,219000.0,2.0,75.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.707469745444429,0.0,1.0,1.8,0.391,1070,1,5.0
House,Residence,439142.0,3.0,135.0,0.0,0.0,0.0,0.0,1.0,0.0,226.0,3.0,0.0,2.0,7.5,0.101,9041,0,5.0
House,Residence,500000.0,5.0,215.0,1.0,0.0,1.0,62.0,1.0,172.0,298.0,3.0,0.0,2.0,2.0,0.107,1400,1,6.0
Apartment,Apartment,329000.0,2.0,94.0,0.0,0.0,1.0,19.0,1.0,0.0,0.0,2.707469745444429,0.0,2.0,11.8,0.061,2980,0,10.0
Apartment,Apartment,250000.0,2.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.707469745444429,0.0,2.0,0.757,0.322,6700,1,6.0
House,Residence,940000.0,4.0,384.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,2.0,1.2,0.163,4900,1,5.0
House,Residence,229000.0,3.0,145.0,0.0,0.0,1.0,0.0,1.0,0.0,224.0,2.0,0.0,1.0,3.8,0.353,7540,1,6.0
House,Residence,225000.0,5.0,196.0,1.0,0.0,1.0,0.0,0.0,0.0,206.0,3.0,0.0,2.0,1.2,0.306,3581,0,4.0
