locality,property_type,subtype,price_eur,type_of_sale,num_rooms,living_area_m2,fully_equipped_kitchen,furnished,terrace,terrace_area_m2,garden,garden_area_m2,land_surface_m2,num_facades,swimming_pool,state_of_building,num_bathrooms,dist_train_km,dist_bus_km
3621 Rekem,House,Residence,379000,for sale,3.0,169.0,None,0.0,1.0,None,1.0,None,837.0,4.0,None,Normal,2.0,10.6,0.447
9550 Herzele,House,Residence,477165,for sale,4.0,206.0,None,None,None,None,None,None,540.0,3.0,None,New,2.0,5.7,0.47
2570 Duffel,Apartment,Apartment,367500,for sale,2.0,93.0,None,None,1.0,11.0,0.0,None,None,2.0,0.0,New,None,0.814,0.108
3440 Zoutleeuw,House,Residence,160000,for sale,3.0,139.0,None,None,0.0,None,1.0,None,180.0,None,None,None,None,6.2,0.165
6850 Paliseul,House,Residence,99000,for sale,2.0,105.0,1.0,0.0,0.0,None,0.0,None,None,3.0,0.0,To be renovated,1.0,1.3,0.033
8370 Blankenberge,Apartment,Studio,99000,for sale,None,28.0,None,None,1.0,None,0.0,None,None,None,None,None,None,0.862,0.381
7800 Ath,House,Residence,295000,for sale,4.0,151.0,None,None,1.0,30.0,1.0,533.0,662.0,3.0,None,Normal,2.0,1.1,0.254
8956 Kemmel,House,Cottage,645000,for sale,3.0,230.0,None,None,0.0,None,1.0,None,14188.0,4.0,None,None,1.0,8.4,0.978
4000 Glain,Apartment,Apartment,80000,for sale,2.0,90.0,None,None,0.0,None,0.0,None,None,2.0,None,None,None,1.3,0.205
8930 Rekkem,House,Residence,269000,for sale,3.0,130.0,1.0,0.0,1.0,None,1.0,120.0,283.0,3.0,0.0,Normal,2.0,5.1,0.146
1932 Woluwe-saint-Etienne,Apartment,Duplex,449000,for sale,3.0,127.0,None,0.0,1.0,None,None,None,None,2.0,None,Excellent,2.0,2.3,0.343
6061 Montignies-sur-Sambre,House,Residence,179000,for sale,4.0,None,None,None,1.0,None,1.0,None,None,2.0,None,None,None,2.2,0.105
2930 Brasschaat,House,Residence,460000,for sale,4.0,160.0,None,0.0,1.0,None,1.0,110.0,222.0,2.0,None,Normal,2.0,5.5,0.513
5020 Temploux,House,Residence,300000,for sale,4.0,230.0,1.0,None,1.0,20.0,1.0,None,1248.0,4.0,0.0,Normal,2.0,4.6,0.12
1150 Sint-Pieters-Woluwe,Apartment,Studio,195000,for sale,0.0,45.0,None,0.0,0.0,None,0.0,None,None,2.0,None,Normal,1.0,1.3,0.227
2280 Grobbendonk,Apartment,Ground Floor,400000,for sale,1.0,103.0,None,0.0,1.0,33.0,0.0,None,None,3.0,None,Normal,1.0,2.9,0.058
7180 Seneffe,House,Master House,325000,for sale,5.0,474.0,1.0,None,1.0,None,1.0,None,1300.0,4.0,0.0,Normal,2.0,4.7,0.607
8890 Moorslede,Apartment,Apartment,150000,for sale,3.0,95.0,None,None,1.0,None,None,None,None,None,None,Normal,None,8.6,0.207
5590 Ciney,House,Residence,185000,for sale,2.0,120.0,None,0.0,1.0,25.0,1.0,850.0,None,None,None,To be renovated,2.0,0.702,0.108
2300 Turnhout,House,Residence,249000,for sale,2.0,160.0,None,0.0,1.0,None,1.0,None,460.0,2.0,None,None,None,0.63,0.451
6567 Merbes-le-Château,House,Residence,48000,for sale,2.0,50.0,None,0.0,0.0,None,0.0,None,54.0,None,None,To be renovated,1.0,1.8,0.236
9300 Aalst,Apartment,Apartment,396450,for sale,2.0,105.0,1.0,0.0,1.0,31.0,1.0,None,None,2.0,0.0,New,None,1.3,0.193
3670 Meeuwen,House,Mixed Building,395000,for sale,4.0,161.0,None,None,1.0,None,1.0,None,322.0,3.0,None,None,None,None,0.027
4367 Crisnée,House,Residence,495000,for sale,3.0,148.0,None,0.0,1.0,38.0,1.0,None,505.0,4.0,0.0,New,2.0,6.0,0.242
1040 Etterbeek,House,Mixed Building,850000,for sale,2.0,330.0,None,0.0,1.0,10.0,0.0,None,None,2.0,0.0,To renovate,3.0,0.871,0.133
5000 Namur,Apartment,Apartment,245000,for sale,2.0,86.0,None,None,1.0,None,None,None,None,None,None,None,1.0,0.796,0.155
1332 Genval,House,Residence,595000,for sale,4.0,200.0,None,0.0,0.0,None,1.0,1008.0,1115.0,4.0,None,To be renovated,2.0,2.3,0.37
4180 Hamoir,House,Residence,249000,for sale,2.0,86.0,None,0.0,1.0,42.0,1.0,343.0,469.0,4.0,None,Normal,1.0,0.772,0.3
1745 Opwijk,House,Residence,437000,for sale,3.0,157.0,None,None,0.0,None,1.0,None,651.0,3.0,None,New,2.0,3.4,0.214
1070 Anderlecht,Apartment,Studio,189000,for sale,0.0,50.0,None,0.0,1.0,5.0,1.0,None,None,4.0,0.0,To renovate,1.0,2.3,0.024
5540 Hastière,House,Residence,290000,for sale,3.0,145.0,None,0.0,1.0,18.0,1.0,993.0,None,None,None,New,2.0,9.0,0.004
4420 Saint-Nicolas,Apartment,Apartment,175000,for sale,2.0,107.0,None,0.0,0.0,None,0.0,None,None,None,0.0,Normal,1.0,2.4,0.57
9000 Gent,House,Residence,398000,for sale,2.0,172.0,None,None,1.0,20.0,0.0,None,80.0,3.0,None,To be renovated,1.0,3.4,0.069
5100 Dave,Apartment,Apartment,269000,for sale,2.0,95.0,1.0,0.0,1.0,7.0,0.0,None,None,None,0.0,New,1.0,1.3,0.148
9140 Temse,House,Residence,299000,for sale,3.0,212.0,None,0.0,1.0,None,1.0,None,194.0,2.0,None,Normal,2.0,3.0,0.134
1060 Sint-Gillis,Apartment,Apartment,225000,for sale,3.0,113.0,None,0.0,1.0,3.0,0.0,None,None,2.0,None,To be renovated,None,1.2,0.353
9120 Beveren,Apartment,Apartment,477500,for sale,2.0,145.0,None,None,1.0,84.0,1.0,None,None,None,None,None,1.0,1.2,0.415
2860 Sint-Katelijne-Waver,Apartment,Apartment,165000,for sale,1.0,65.0,None,0.0,1.0,3.0,0.0,None,None,None,None,Normal,1.0,2.5,0.031
9500 Geraardsbergen,Apartment,Penthouse,219000,for sale,2.0,69.0,None,0.0,1.0,11.0,0.0,None,None,2.0,0.0,Normal,1.0,1.3,0.232
4340 Awans,Apartment,Apartment,199000,for sale,1.0,75.0,1.0,0.0,1.0,20.0,1.0,50.0,None,None,0.0,Excellent,1.0,4.0,0.121
7090 Braine-le-Comte,House,Residence,185000,for sale,3.0,None,None,None,None,None,1.0,None,None,2.0,None,None,None,0.472,0.274
2600 Berchem,Apartment,Apartment,275000,for sale,2.0,123.0,None,0.0,1.0,None,0.0,None,None,3.0,None,Normal,2.0,0.742,0.088
6840 Hamipré,House,Residence,80000,for sale,3.0,None,None,None,0.0,None,1.0,None,None,None,None,To be renovated,None,5.8,0.115
8301 Duinbergen,Apartment,Studio,355000,for sale,1.0,35.0,None,None,1.0,None,1.0,None,None,3.0,None,None,None,0.92,0.397
4620 Fléron,Apartment,Apartment,290000,for sale,2.0,None,None,0.0,0.0,None,0.0,None,None,None,None,New,1.0,6.2,0.141
3053 Haasrode,House,Residence,695000,for sale,4.0,243.0,1.0,0.0,1.0,None,1.0,None,932.0,3.0,0.0,None,None,4.6,0.042
1325 Bonlez,House,Residence,449000,for sale,2.0,136.0,None,0.0,0.0,None,1.0,None,2307.0,4.0,None,None,1.0,6.1,0.027
7760 Celles,House,Residence,210000,for sale,2.0,None,None,None,0.0,None,1.0,None,95.0,2.0,None,Normal,2.0,None,0.455
4620 Fléron,House,Residence,319000,for sale,4.0,167.0,1.0,0.0,1.0,40.0,1.0,110.0,274.0,2.0,0.0,Normal,2.0,5.5,0.044
2060 Antwerp,Apartment,Apartment,159000,for sale,1.0,57.0,None,0.0,0.0,None,0.0,None,None,2.0,None,To be renovated,1.0,1.0,0.601
7500 Tournai,Apartment,Apartment,315000,for sale,2.0,132.0,None,0.0,1.0,None,0.0,None,None,3.0,None,Normal,1.0,0.972,0.092
4680 Oupeye,House,Residence,None,for sale,4.0,190.0,1.0,0.0,1.0,80.0,1.0,590.0,826.0,4.0,0.0,Excellent,3.0,3.8,0.061
3500 Hasselt,House,Residence,475000,for sale,2.0,175.0,None,0.0,0.0,None,0.0,None,260.0,None,1.0,Normal,None,0.492,0.493
9000 Gent,Apartment,Loft,835000,for sale,3.0,199.0,None,0.0,1.0,15.0,1.0,None,None,None,0.0,New,None,1.8,0.547
6040 Jumet,House,Residence,230000,for sale,6.0,385.0,None,None,1.0,None,1.0,600.0,None,3.0,1.0,To renovate,None,2.8,0.039
8420 De Haan,Apartment,Ground Floor,95000,for sale,2.0,95.0,1.0,0.0,1.0,5.0,None,None,None,1.0,None,Normal,None,8.2,0.748
1180 Ukkel,Apartment,Penthouse,450000,for sale,2.0,93.0,None,0.0,1.0,38.0,0.0,None,None,2.0,0.0,Excellent,1.0,0.847,0.137
1050 Elsene,Apartment,Apartment,325000,for sale,1.0,66.0,None,None,1.0,22.0,0.0,None,None,None,None,Normal,None,0.85,0.355
1601 Ruisbroek,House,Villa,985000,for sale,1.0,386.0,1.0,None,1.0,None,1.0,None,1870.0,3.0,None,Normal,1.0,1.6,0.177
1200 Sint-Lambrechts-Woluwe,Apartment,Apartment,795000,for sale,3.0,130.0,None,None,1.0,21.0,0.0,None,None,2.0,None,New,4.0,3.0,0.271
4100 Seraing,Apartment,Duplex,119000,for sale,2.0,90.0,None,0.0,0.0,None,0.0,None,None,2.0,0.0,Under construction,None,5.6,0.054
1490 Court-Saint-Étienne,House,Residence,345000,for sale,3.0,127.0,1.0,0.0,1.0,17.0,1.0,None,639.0,4.0,None,New,2.0,0.499,0.166
5555 Baillamont,House,Residence,379000,for sale,5.0,208.0,1.0,0.0,1.0,22.0,1.0,2000.0,6877.0,3.0,0.0,Normal,2.0,4.5,0.377
5660 Couvin,House,Residence,115000,for sale,4.0,150.0,None,0.0,1.0,30.0,1.0,None,345.0,2.0,None,None,2.0,0.614,0.102
8670 Koksijde,Apartment,Apartment,349900,for sale,3.0,85.0,None,None,1.0,None,1.0,None,None,None,None,Fully renovated,1.0,5.2,0.375
8670 Koksijde,Apartment,Apartment,659000,for sale,4.0,161.0,None,None,1.0,None,0.0,None,None,None,None,New,None,5.4,0.411
2870 Puurs-Sint-Amands,Apartment,Apartment,305000,for sale,2.0,96.0,None,None,1.0,15.0,None,None,None,None,None,Excellent,None,4.3,0.117
4620 Fléron,House,Residence,165000,for sale,1.0,None,None,None,0.0,None,0.0,None,193.0,3.0,None,To be renovated,2.0,6.7,0.103
1150 Sint-Pieters-Woluwe,House,Residence,1045000,for sale,6.0,300.0,1.0,0.0,1.0,20.0,1.0,300.0,545.0,3.0,None,Excellent,4.0,4.9,0.692
1180 Ukkel,Apartment,Penthouse,725000,for sale,3.0,127.0,None,None,1.0,29.0,0.0,None,None,3.0,None,New,4.0,1.5,0.65
2960 Brecht,House,Residence,549000,for sale,4.0,226.0,None,0.0,1.0,None,1.0,None,910.0,4.0,None,Normal,2.0,7.9,0.287
1210 Sint-Joost-ten-Node,Apartment,Apartment,365000,for sale,2.0,121.0,1.0,None,1.0,4.0,None,None,None,3.0,0.0,Normal,2.0,0.686,0.033
None,House,Residence,None,for sale,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
9050 Gentbrugge,House,Residence,530000,for sale,3.0,120.0,1.0,0.0,1.0,13.0,1.0,85.0,182.0,2.0,0.0,Excellent,2.0,0.938,0.245
1770 Liedekerke,House,Residence,435974,for sale,3.0,154.0,1.0,0.0,1.0,None,1.0,None,275.0,3.0,0.0,New,2.0,0.936,0.266
2520 Ranst,Apartment,Penthouse,449000,for sale,3.0,112.0,None,0.0,1.0,46.0,0.0,None,None,4.0,None,Normal,1.0,6.4,0.214
9300 Aalst,Apartment,Apartment,169000,for sale,2.0,68.0,1.0,None,1.0,None,None,None,None,2.0,None,Fully renovated,1.0,1.5,0.423
2300 Turnhout,House,Residence,327000,for sale,3.0,109.0,None,0.0,1.0,None,1.0,None,99.0,2.0,None,Normal,2.0,0.568,0.19
1180 Ukkel,Apartment,Apartment,527500,for sale,2.0,130.0,None,None,1.0,6.0,1.0,None,None,3.0,None,New,4.0,0.814,0.306
1082 Berchem-Sainte-Agathe,Apartment,Apartment,299000,for sale,3.0,100.0,None,None,1.0,7.0,None,None,None,2.0,None,Normal,1.0,1.1,0.166
8870 Izegem,House,Residence,439000,for sale,4.0,210.0,1.0,0.0,1.0,36.0,1.0,550.0,1092.0,4.0,0.0,Normal,1.0,1.7,0.925
8490 Jabbeke,Apartment,Penthouse,489000,for sale,2.0,99.0,None,None,1.0,None,0.0,None,None,None,None,None,None,8.8,0.214
7542 Mont-Saint-Aubert,House,Villa,1400000,for sale,3.0,300.0,1.0,0.0,1.0,None,1.0,7353.0,7353.0,4.0,1.0,Excellent,2.0,7.3,1.7
6590 Momignies,House,Residence,50000,for sale,3.0,138.0,None,0.0,1.0,13.0,0.0,None,None,2.0,None,None,2.0,None,0.845
2890 Sint-Amands,House,Residence,625000,for sale,2.0,251.0,None,0.0,1.0,15.0,1.0,None,585.0,3.0,None,Normal,2.0,5.3,0.455
1070 Anderlecht,Apartment,Apartment,225000,for sale,2.0,68.0,1.0,0.0,1.0,10.0,0.0,None,None,None,0.0,Normal,1.0,2.8,0.1
9100 Sint-Niklaas,House,Residence,460000,for sale,4.0,207.0,1.0,None,1.0,21.0,1.0,408.0,685.0,3.0,0.0,Excellent,None,4.2,1.5
3150 Haacht,House,Residence,585000,for sale,3.0,182.0,1.0,0.0,1.0,None,1.0,None,756.0,4.0,0.0,Excellent,2.0,1.4,0.396
1020 Laken,Apartment,Apartment,199000,for sale,2.0,75.0,None,None,1.0,15.0,0.0,None,None,4.0,None,None,None,0.647,0.095
3970 Leopoldsburg,Apartment,Apartment,335900,for sale,5.0,122.0,None,None,1.0,None,None,None,None,2.0,None,None,None,0.933,0.384
4430 Ans,House,Residence,225000,for sale,3.0,130.0,None,0.0,1.0,43.0,0.0,None,158.0,2.0,None,To be renovated,1.0,2.5,0.129
