Zip Code,Municipality,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Living Area,Fully equipped kitchen,Furnished,Terrace,Terrace Area,Garden,Garden Area,Surface of the land,Number of facades,Swimming pool,State of the building,price_per_m2,Region,building_state_encoded
1300,Wavre,House,Residence,230000.0,for sale,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,60.0,,0.0,,,Wallonia,
1180,Ukkel,Apartment,Apartment,2350000.0,for sale,3.0,261.0,0.0,0.0,1.0,145.0,0.0,0.0,,4.0,0.0,New,9003.83141762452,Brussels,9.0
3960,Bree,House,Residence,325000.0,for sale,5.0,233.0,0.0,0.0,1.0,,0.0,0.0,964.0,2.0,0.0,,1394.8497854077252,Flanders,
5540,Hastiere,House,Chalet,115000.0,for sale,2.0,50.0,1.0,1.0,1.0,20.0,1.0,400.0,469.0,4.0,0.0,Normal,2300.0,Wallonia,5.0
1070,Anderlecht,Apartment,Apartment,265000.0,for sale,4.0,120.0,1.0,0.0,1.0,8.0,0.0,0.0,,2.0,0.0,Normal,2208.3333333333335,Brussels,5.0
8500,Kortrijk,Apartment,Apartment,557900.0,for sale,2.0,125.0,0.0,0.0,1.0,,0.0,0.0,,,0.0,,4463.2,Flanders,
5600,Philippeville,House,Residence,395000.0,for sale,6.0,292.0,0.0,0.0,1.0,,1.0,,5225.0,4.0,0.0,,1352.7397260273972,Wallonia,
2550,Kontich,Apartment,Apartment,185000.0,for sale,1.0,60.0,0.0,0.0,1.0,19.0,1.0,,,2.0,1.0,Excellent,3083.3333333333335,Flanders,8.0
8902,Zillebeke,House,Residence,374912.0,for sale,3.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,609.0,3.0,0.0,,2621.762237762238,Flanders,
6940,Durbuy,House,Chalet,195000.0,for sale,3.0,100.0,0.0,0.0,1.0,,1.0,,2036.0,4.0,0.0,Normal,1950.0,Wallonia,5.0
1820,Steenokkerzeel,House,Villa,549000.0,for sale,3.0,161.0,1.0,0.0,1.0,,1.0,900.0,1119.0,4.0,0.0,Normal,3409.9378881987577,Flanders,5.0
3600,Genk,House,Residence,160000.0,in public sale,3.0,,0.0,0.0,0.0,0.0,1.0,,,,0.0,,,Flanders,
5530,Yvoir,House,Villa,370000.0,for sale,4.0,200.0,0.0,0.0,1.0,28.0,1.0,542.0,,,0.0,Excellent,1850.0,Wallonia,8.0
2200,Noorderwijk,House,Residence,485000.0,for sale,3.0,163.0,0.0,0.0,1.0,12.0,1.0,,137.0,3.0,0.0,New,2975.4601226993864,Flanders,9.0
1370,Pietrain,House,Villa,980000.0,for sale,3.0,308.0,0.0,0.0,1.0,25.0,1.0,,29650.0,4.0,0.0,To be renovated,3181.818181818182,Wallonia,4.0
4000,Liege,Apartment,Apartment,150000.0,for sale,1.0,60.0,0.0,0.0,1.0,,0.0,0.0,,2.0,0.0,Normal,2500.0,Wallonia,5.0
4000,Liege,Apartment,Apartment,119000.0,for sale,1.0,67.0,1.0,0.0,1.0,21.0,0.0,0.0,,2.0,0.0,Normal,1776.1194029850747,Wallonia,5.0
4102,Ougree,House,Residence,188000.0,for sale,2.0,96.0,0.0,0.0,0.0,0.0,1.0,,251.0,3.0,0.0,,1958.3333333333333,Wallonia,
1325,Chaumont Gistoux,House,Mixed Building,695000.0,for sale,11.0,559.0,0.0,0.0,1.0,50.0,1.0,,1570.0,4.0,0.0,Normal,1243.2915921288015,Wallonia,5.0
4800,Verviers,Apartment,Apartment,89000.0,for sale,2.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,,1328.358208955224,Wallonia,
