locality,property_type,subtype,price_eur,type_of_sale,num_rooms,living_area_m2,fully_equipped_kitchen,furnished,terrace,terrace_area_m2,garden,garden_area_m2,land_surface_m2,num_facades,swimming_pool,state_of_building,num_bathrooms,dist_train_km,dist_bus_km,price_per_m2,postal_code,region,outlier_flag,avg_price_locality,building_state_encoded
5020 Temploux,House,Residence,300000.0,for sale,4.0,230.0,1.0,,1.0,20.0,1.0,,1248.0,4.0,0.0,Normal,2.0,4.6,0.12,1304.35,5020,Wallonia,False,460666.7,5.0
1150 Sint-Pieters-Woluwe,Apartment,Studio,195000.0,for sale,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,Normal,1.0,1.3,0.227,4333.33,1150,Brussels,False,848242.8,5.0
2280 Grobbendonk,Apartment,Ground Floor,400000.0,for sale,1.0,103.0,0.0,0.0,1.0,33.0,0.0,0.0,,3.0,0.0,Normal,1.0,2.9,0.058,3883.5,2280,Flanders,False,331050.0,5.0
7180 Seneffe,House,Master House,325000.0,for sale,5.0,474.0,1.0,,1.0,,1.0,,1300.0,4.0,0.0,Normal,2.0,4.7,0.607,685.65,7180,Wallonia,False,350416.7,5.0
8890 Moorslede,Apartment,Apartment,150000.0,for sale,3.0,95.0,0.0,,1.0,,0.0,0.0,,,0.0,Normal,,8.6,0.207,1578.95,8890,Flanders,False,203461.5,5.0
5590 Ciney,House,Residence,185000.0,for sale,2.0,120.0,0.0,0.0,1.0,25.0,1.0,850.0,,,0.0,To be renovated,2.0,0.702,0.108,1541.67,5590,Wallonia,False,293138.9,4.0
2300 Turnhout,House,Residence,249000.0,for sale,2.0,160.0,0.0,0.0,1.0,,1.0,,460.0,2.0,0.0,,,0.63,0.451,1556.25,2300,Flanders,False,297988.7,
6567 Merbes-le-Château,House,Residence,48000.0,for sale,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,,0.0,To be renovated,1.0,1.8,0.236,960.0,6567,Wallonia,False,197399.8,4.0
9300 Aalst,Apartment,Apartment,396450.0,for sale,2.0,105.0,1.0,0.0,1.0,31.0,1.0,,,2.0,0.0,New,,1.3,0.193,3775.71,9300,Flanders,False,360900.1,9.0
3670 Meeuwen,House,Mixed Building,395000.0,for sale,4.0,161.0,0.0,,1.0,,1.0,,322.0,3.0,0.0,,,,0.027,2453.42,3670,Flanders,False,395000.0,
4367 Crisnée,House,Residence,495000.0,for sale,3.0,148.0,0.0,0.0,1.0,38.0,1.0,,505.0,4.0,0.0,New,2.0,6.0,0.242,3344.59,4367,Wallonia,False,405200.0,9.0
1040 Etterbeek,House,Mixed Building,850000.0,for sale,2.0,330.0,0.0,0.0,1.0,10.0,0.0,0.0,,2.0,0.0,To renovate,3.0,0.871,0.133,2575.76,1040,Brussels,False,614344.9,3.0
5000 Namur,Apartment,Apartment,245000.0,for sale,2.0,86.0,0.0,,1.0,,0.0,0.0,,,0.0,,1.0,0.796,0.155,2848.84,5000,Wallonia,False,342346.6,
1332 Genval,House,Residence,595000.0,for sale,4.0,200.0,0.0,0.0,0.0,0.0,1.0,1008.0,1115.0,4.0,0.0,To be renovated,2.0,2.3,0.37,2975.0,1332,Wallonia,False,610800.0,4.0
4180 Hamoir,House,Residence,249000.0,for sale,2.0,86.0,0.0,0.0,1.0,42.0,1.0,343.0,469.0,4.0,0.0,Normal,1.0,0.772,0.3,2895.35,4180,Wallonia,False,312116.2,5.0
1745 Opwijk,House,Residence,437000.0,for sale,3.0,157.0,0.0,,0.0,0.0,1.0,,651.0,3.0,0.0,New,2.0,3.4,0.214,2783.44,1745,Flanders,False,459519.2,9.0
1070 Anderlecht,Apartment,Studio,189000.0,for sale,0.0,50.0,0.0,0.0,1.0,5.0,1.0,,,4.0,0.0,To renovate,1.0,2.3,0.024,3780.0,1070,Brussels,False,311250.8,3.0
5540 Hastière,House,Residence,290000.0,for sale,3.0,145.0,0.0,0.0,1.0,18.0,1.0,993.0,,,0.0,New,2.0,9.0,0.004,2000.0,5540,Wallonia,False,176013.2,9.0
4420 Saint-Nicolas,Apartment,Apartment,175000.0,for sale,2.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,Normal,1.0,2.4,0.57,1635.51,4420,Wallonia,False,196689.8,5.0
9000 Gent,House,Residence,398000.0,for sale,2.0,172.0,0.0,,1.0,20.0,0.0,0.0,80.0,3.0,0.0,To be renovated,1.0,3.4,0.069,2313.95,9000,Flanders,False,455712.0,4.0
5100 Dave,Apartment,Apartment,269000.0,for sale,2.0,95.0,1.0,0.0,1.0,7.0,0.0,0.0,,,0.0,New,1.0,1.3,0.148,2831.58,5100,Wallonia,False,334000.0,9.0
9140 Temse,House,Residence,299000.0,for sale,3.0,212.0,0.0,0.0,1.0,,1.0,,194.0,2.0,0.0,Normal,2.0,3.0,0.134,1410.38,9140,Flanders,False,299606.1,5.0
1060 Sint-Gillis,Apartment,Apartment,225000.0,for sale,3.0,113.0,0.0,0.0,1.0,3.0,0.0,0.0,,2.0,0.0,To be renovated,,1.2,0.353,1991.15,1060,Brussels,False,459181.0,4.0
